latency,duration,type,marker_value,key,timestamp,marker_id
0.140546,16.318916,sensor_check,true,-1,1689316228.632052,1
16.459462,2.053529,text_element_l74n,NULL,-1,1689316244.950968,2
16.459462,0.000000,published_date,2023-07-14T04:51:33.699441Z,-1,1689316244.950968,3
16.459462,2.053529,phase_Instructions_phase_1,46526,-1,1689316244.950968,4
18.512991,70.327503,active_period,true,-1,1689316247.004497,5
18.614496,10.009977,phase_rest,46527,-1,1689316247.106002,6
18.614496,10.017785,rest_10s,rest,-1,1689316247.106002,7
28.632281,6.012232,phase_1,46528,-1,1689316257.123787,8
28.632281,1.007244,text_element_0bc1,1,-1,1689316257.123787,9
29.639525,5.004988,text_element_wssy,wait,-1,1689316258.131031,10
34.644513,1.007244,text_element_0bc1,1,-1,1689316263.136019,11
34.644513,6.027849,phase_2,46529,-1,1689316263.136019,12
35.659565,5.012797,text_element_wssy,wait,-1,1689316264.151071,13
40.672362,6.020040,phase_3,46530,-1,1689316269.163868,14
40.672362,1.015052,text_element_0bc1,1,-1,1689316269.163868,15
41.687414,5.004988,text_element_wssy,wait,-1,1689316270.178920,16
46.692402,1.022861,text_element_0bc1,1,-1,1689316275.183908,17
46.692402,6.035657,phase_4,46531,-1,1689316275.183908,18
47.715263,5.012796,text_element_wssy,wait,-1,1689316276.206769,19
52.728059,1.007244,text_element_0bc1,1,-1,1689316281.219565,20
52.728059,6.020041,phase_5,46532,-1,1689316281.219565,21
53.735303,5.012797,text_element_wssy,wait,-1,1689316282.226809,22
58.748100,6.035656,phase_6,46533,-1,1689316287.239606,23
58.748100,1.015052,text_element_0bc1,1,-1,1689316287.239606,24
59.770960,5.012796,text_element_wssy,wait,-1,1689316288.262466,25
64.783756,6.012233,phase_7,46534,-1,1689316293.275262,26
64.783756,1.007244,text_element_0bc1,1,-1,1689316293.275262,27
65.791000,5.004989,text_element_wssy,wait,-1,1689316294.282506,28
70.795989,1.015052,text_element_0bc1,1,-1,1689316299.287495,29
70.795989,6.020040,phase_8,46535,-1,1689316299.287495,30
71.811041,5.004988,text_element_wssy,wait,-1,1689316300.302547,31
76.823837,6.004425,phase_9,46536,-1,1689316305.315343,32
76.823837,0.999436,text_element_0bc1,1,-1,1689316305.315343,33
77.823273,5.004989,text_element_wssy,wait,-1,1689316306.314779,34
82.828262,6.012232,phase_10,46537,-1,1689316311.319768,35
82.828262,1.007244,text_element_0bc1,1,-1,1689316311.319768,36
83.835506,5.004988,text_element_wssy,wait,-1,1689316312.327012,37
88.840494,0.000000,last_stimuli,2023-07-14T15:31:57.330+09:00,-1,1689316317.332000,38
88.848302,0.000000,finish_running,2023-07-14T15:31:57.336+09:00,-1,1689316317.339808,39
