latency,duration,type,marker_value,key,timestamp,marker_id
0.117122,21.120906,sensor_check,true,-1,1689315151.607112,1
21.238028,2.654753,phase_Instructions_phase_1,46511,-1,1689315172.728018,2
21.238028,2.654753,text_element_l74n,NULL,-1,1689315172.728018,3
21.238028,0.000000,published_date,2023-07-14T04:51:31.284338Z,-1,1689315172.728018,4
23.892781,70.335350,active_period,true,-1,1689315175.382771,5
23.978670,10.002174,phase_rest,46512,-1,1689315175.468660,6
23.978670,10.002174,rest_10s,rest,-1,1689315175.468660,7
33.980844,1.007245,text_element_0bc1,1,-1,1689315185.470834,8
33.980844,6.020044,phase_1,46513,-1,1689315185.470834,9
34.988089,5.012799,text_element_wssy,wait,-1,1689315186.478079,10
40.008696,1.007245,text_element_0bc1,1,-1,1689315191.498686,11
40.008696,6.020044,phase_2,46514,-1,1689315191.498686,12
41.015941,5.012799,text_element_wssy,wait,-1,1689315192.505931,13
46.028740,1.015053,text_element_0bc1,1,-1,1689315197.518730,14
46.028740,6.027852,phase_3,46515,-1,1689315197.518730,15
47.043793,5.012799,text_element_wssy,wait,-1,1689315198.533783,16
52.056592,6.020044,phase_4,46516,-1,1689315203.546582,17
52.056592,1.015053,text_element_0bc1,1,-1,1689315203.546582,18
53.071645,5.004991,text_element_wssy,wait,-1,1689315204.561635,19
58.076636,0.999437,text_element_0bc1,1,-1,1689315209.566626,20
58.076636,6.012236,phase_5,46517,-1,1689315209.566626,21
59.083881,5.004991,text_element_wssy,wait,-1,1689315210.573871,22
64.088872,6.027852,phase_6,46518,-1,1689315215.578862,23
64.088872,1.015052,text_element_0bc1,1,-1,1689315215.578862,24
65.111733,5.004991,text_element_wssy,wait,-1,1689315216.601723,25
70.116724,1.015052,text_element_0bc1,1,-1,1689315221.606714,26
70.116724,6.027851,phase_7,46519,-1,1689315221.606714,27
71.131776,5.012799,text_element_wssy,wait,-1,1689315222.621766,28
76.144575,6.020044,phase_8,46520,-1,1689315227.634565,29
76.144575,1.015053,text_element_0bc1,1,-1,1689315227.634565,30
77.159628,5.004991,text_element_wssy,wait,-1,1689315228.649618,31
82.164619,0.999437,text_element_0bc1,1,-1,1689315233.654609,32
82.164619,6.004428,phase_9,46521,-1,1689315233.654609,33
83.164056,5.004991,text_element_wssy,wait,-1,1689315234.654046,34
88.176855,1.015053,text_element_0bc1,1,-1,1689315239.666845,35
88.176855,6.051276,phase_10,46522,-1,1689315239.666845,36
89.191908,5.036223,text_element_wssy,wait,-1,1689315240.681898,37
94.204707,0.000000,last_stimuli,2023-07-14T15:14:05.696+09:00,-1,1689315245.694697,38
94.228131,0.000000,finish_running,2023-07-14T15:14:05.718+09:00,-1,1689315245.718121,39
