latency,duration,type,marker_value,key,timestamp,marker_id
0.179587,2.896808,sensor_check,true,-1,1689119375.565112,1
3.084203,0.000000,published_date,2023-07-11T23:47:03.534929Z,-1,1689119378.469728,2
3.084203,2.092573,phase_Instructions_phase_1,46270,-1,1689119378.469728,3
3.084203,2.100381,text_element_djez,NULL,-1,1689119378.469728,4
5.184584,0.000000,active_period,true,-1,1689119380.570109,5
5.278281,10.002187,phase_Stimuli_phase_1,46271,-1,1689119380.663806,6
5.278281,10.009995,text_element_q681,rest,-1,1689119380.663806,7
15.303892,30.240803,phase_1,46272,-1,1689119390.689417,8
15.303892,1.015054,text_element_gmia,1,-1,1689119390.689417,9
16.334562,5.004998,text_element_5dc6,stop,-1,1689119391.720087,10
21.355176,0.999438,text_element_z6up,2,-1,1689119396.740701,11
22.370230,5.004998,text_element_08so,stop,-1,1689119397.755755,12
27.390844,1.022862,text_element_pod4,3,-1,1689119402.776369,13
28.429322,5.004998,text_element_02gl,stop,-1,1689119403.814847,14
33.449936,0.999438,text_element_velq,4,-1,1689119408.835461,15
34.464990,5.012805,text_element_ea58,stop,-1,1689119409.850515,16
39.501220,1.015054,text_element_amub,5,-1,1689119414.886745,17
40.531890,5.012805,text_element_em0k,stop,-1,1689119415.917415,18
45.552503,0.000000,phase_2,46273,-1,1689119420.938028,19
45.560312,0.999437,text_element_gmia,1,-1,1689119420.945837,20
46.575366,5.004997,text_element_5dc6,stop,-1,1689119421.960891,21
51.595979,2.553252,text_element_z6up,2,-1,1689119426.981504,22
54.164847,0.000000,text_element_08so,stop,-1,1689119429.550372,23
