latency,duration,type,marker_value,key,timestamp,marker_id
0.179586,36.120301,sensor_check,true,-1,1689121539.698964,1
36.299887,0.000000,published_date,2023-07-12T00:14:35.503044Z,-1,1689121575.819265,2
36.299887,3.193516,phase_Instructions_phase_1,46354,-1,1689121575.819265,3
36.299887,3.193516,text_element_djez,NULL,-1,1689121575.819265,4
39.501211,612.569379,active_period,true,-1,1689121579.020589,5
39.602716,10.017801,phase_Stimuli_phase_1,46355,-1,1689121579.122094,6
39.602716,10.017801,text_element_q681,rest,-1,1689121579.122094,7
49.636133,30.115867,phase_1,46356,-1,1689121589.155511,8
49.636133,6.012242,text_element_gmia,1,-1,1689121589.155511,9
55.663991,6.012242,text_element_z6up,2,-1,1689121595.183369,10
61.691849,6.012242,text_element_pod4,3,-1,1689121601.211227,11
67.711899,6.020051,text_element_velq,4,-1,1689121607.231277,12
73.739758,6.012242,text_element_amub,5,-1,1689121613.259136,13
79.759808,30.084634,phase_2,46377,-1,1689121619.279186,14
79.759808,6.012242,text_element_gmia,1,-1,1689121619.279186,15
85.779858,6.012242,text_element_z6up,2,-1,1689121625.299236,16
91.807716,5.996626,text_element_pod4,3,-1,1689121631.327094,17
97.819958,6.004434,text_element_velq,4,-1,1689121637.339336,18
103.832200,6.012242,text_element_amub,5,-1,1689121643.351578,19
109.860058,30.115867,phase_3,46378,-1,1689121649.379436,20
109.860058,6.020050,text_element_gmia,1,-1,1689121649.379436,21
115.895725,6.004433,text_element_z6up,2,-1,1689121655.415103,22
121.915775,6.004434,text_element_pod4,3,-1,1689121661.435153,23
127.928017,6.012242,text_element_velq,4,-1,1689121667.447395,24
133.955875,6.020050,text_element_amub,5,-1,1689121673.475253,25
139.983733,30.115867,phase_4,46382,-1,1689121679.503111,26
139.983733,6.020050,text_element_gmia,1,-1,1689121679.503111,27
146.011592,6.012242,text_element_z6up,2,-1,1689121685.530970,28
152.039450,6.012242,text_element_pod4,3,-1,1689121691.558828,29
158.059500,6.012242,text_element_velq,4,-1,1689121697.578878,30
164.087358,6.012242,text_element_amub,5,-1,1689121703.606736,31
170.115216,30.100251,phase_5,46383,-1,1689121709.634594,32
170.115216,6.012242,text_element_gmia,1,-1,1689121709.634594,33
176.135266,6.012242,text_element_z6up,2,-1,1689121715.654644,34
182.163125,5.996625,text_element_pod4,3,-1,1689121721.682503,35
188.175366,6.012243,text_element_velq,4,-1,1689121727.694744,36
194.203225,6.012242,text_element_amub,5,-1,1689121733.722603,37
200.231083,30.100251,phase_6,46384,-1,1689121739.750461,38
200.231083,6.012242,text_element_gmia,1,-1,1689121739.750461,39
206.258941,6.004434,text_element_z6up,2,-1,1689121745.778319,40
212.271183,6.012242,text_element_pod4,3,-1,1689121751.790561,41
218.299042,6.004433,text_element_velq,4,-1,1689121757.818420,42
224.319092,6.012242,text_element_amub,5,-1,1689121763.838470,43
230.346950,30.154907,phase_7,46385,-1,1689121769.866328,44
230.346950,6.020050,text_element_gmia,1,-1,1689121769.866328,45
236.374808,6.020050,text_element_z6up,2,-1,1689121775.894186,46
242.402666,6.035667,text_element_pod4,3,-1,1689121781.922044,47
248.453949,6.020050,text_element_velq,4,-1,1689121787.973327,48
254.489615,6.012242,text_element_amub,5,-1,1689121794.008993,49
260.517473,30.100251,phase_8,46386,-1,1689121800.036851,50
260.517473,6.012242,text_element_gmia,1,-1,1689121800.036851,51
266.545332,6.004433,text_element_z6up,2,-1,1689121806.064710,52
272.557574,6.012241,text_element_pod4,3,-1,1689121812.076952,53
278.585432,6.012242,text_element_velq,4,-1,1689121818.104810,54
284.613290,6.004434,text_element_amub,5,-1,1689121824.132668,55
290.633340,30.108059,phase_9,46379,-1,1689121830.152718,56
290.633340,6.004434,text_element_gmia,1,-1,1689121830.152718,57
296.653390,6.012242,text_element_z6up,2,-1,1689121836.172768,58
302.681248,6.004434,text_element_pod4,3,-1,1689121842.200626,59
308.701299,6.012242,text_element_velq,4,-1,1689121848.220677,60
314.729157,6.012242,text_element_amub,5,-1,1689121854.248535,61
320.757015,30.108059,phase_10,46387,-1,1689121860.276393,62
320.757015,6.012242,text_element_gmia,1,-1,1689121860.276393,63
326.777065,6.004434,text_element_z6up,2,-1,1689121866.296443,64
332.797115,6.012242,text_element_pod4,3,-1,1689121872.316493,65
338.824973,6.012242,text_element_velq,4,-1,1689121878.344351,66
344.852832,6.012242,text_element_amub,5,-1,1689121884.372210,67
350.880690,30.108059,phase_11,46380,-1,1689121890.400068,68
350.880690,6.004434,text_element_gmia,1,-1,1689121890.400068,69
356.900740,6.004434,text_element_z6up,2,-1,1689121896.420118,70
362.920790,6.012242,text_element_pod4,3,-1,1689121902.440168,71
368.940840,6.012242,text_element_velq,4,-1,1689121908.460218,72
374.968698,6.020051,text_element_amub,5,-1,1689121914.488076,73
381.004365,30.115866,phase_12,46381,-1,1689121920.523743,74
381.012173,6.004434,text_element_gmia,1,-1,1689121920.531551,75
387.032223,6.012242,text_element_z6up,2,-1,1689121926.551601,76
393.060081,6.012242,text_element_pod4,3,-1,1689121932.579459,77
399.087939,6.004434,text_element_velq,4,-1,1689121938.607317,78
405.107990,6.012241,text_element_amub,5,-1,1689121944.627368,79
411.135848,30.100250,phase_13,46388,-1,1689121950.655226,80
411.135848,6.004434,text_element_gmia,1,-1,1689121950.655226,81
417.155898,6.020050,text_element_z6up,2,-1,1689121956.675276,82
423.183756,6.012242,text_element_pod4,3,-1,1689121962.703134,83
429.203806,6.004434,text_element_velq,4,-1,1689121968.723184,84
435.231664,6.004434,text_element_amub,5,-1,1689121974.751042,85
441.251715,30.108058,phase_14,46389,-1,1689121980.771093,86
441.251715,6.012242,text_element_gmia,1,-1,1689121980.771093,87
447.279573,6.004434,text_element_z6up,2,-1,1689121986.798951,88
453.291815,6.004434,text_element_pod4,3,-1,1689121992.811193,89
459.311865,6.012242,text_element_velq,4,-1,1689121998.831243,90
465.339723,6.020050,text_element_amub,5,-1,1689122004.859101,91
471.375389,30.108059,phase_15,46391,-1,1689122010.894767,92
471.375389,6.012242,text_element_gmia,1,-1,1689122010.894767,93
477.395439,6.012243,text_element_z6up,2,-1,1689122016.914817,94
483.423298,6.012242,text_element_pod4,3,-1,1689122022.942676,95
489.451156,6.004434,text_element_velq,4,-1,1689122028.970534,96
495.471206,6.012242,text_element_amub,5,-1,1689122034.990584,97
501.499064,30.108059,phase_16,46392,-1,1689122041.018442,98
501.499064,6.012242,text_element_gmia,1,-1,1689122041.018442,99
507.526923,6.012242,text_element_z6up,2,-1,1689122047.046301,100
513.554781,6.004434,text_element_pod4,3,-1,1689122053.074159,101
519.574831,6.004434,text_element_velq,4,-1,1689122059.094209,102
525.587073,6.020050,text_element_amub,5,-1,1689122065.106451,103
531.614931,30.100251,phase_17,46393,-1,1689122071.134309,104
531.614931,6.020050,text_element_gmia,1,-1,1689122071.134309,105
537.642789,6.004434,text_element_z6up,2,-1,1689122077.162167,106
543.662839,6.004434,text_element_pod4,3,-1,1689122083.182217,107
549.675082,6.012241,text_element_velq,4,-1,1689122089.194460,108
555.702940,6.012242,text_element_amub,5,-1,1689122095.222318,109
561.722990,30.108059,phase_18,46390,-1,1689122101.242368,110
561.722990,6.012242,text_element_gmia,1,-1,1689122101.242368,111
567.743040,6.012242,text_element_z6up,2,-1,1689122107.262418,112
573.763090,6.020050,text_element_pod4,3,-1,1689122113.282468,113
579.798756,6.004434,text_element_velq,4,-1,1689122119.318134,114
585.810998,6.020051,text_element_amub,5,-1,1689122125.330376,115
591.838857,30.115866,phase_19,46394,-1,1689122131.358235,116
591.838857,6.020050,text_element_gmia,1,-1,1689122131.358235,117
597.874523,6.004434,text_element_z6up,2,-1,1689122137.393901,118
603.886765,6.012242,text_element_pod4,3,-1,1689122143.406143,119
609.914623,6.012242,text_element_velq,4,-1,1689122149.434001,120
615.934673,6.020050,text_element_amub,5,-1,1689122155.454051,121
621.970340,30.100250,phase_20,46395,-1,1689122161.489718,122
621.970340,6.004433,text_element_gmia,1,-1,1689122161.489718,123
627.990390,6.004434,text_element_z6up,2,-1,1689122167.509768,124
634.002632,6.012242,text_element_pod4,3,-1,1689122173.522010,125
640.022682,6.004434,text_element_velq,4,-1,1689122179.542060,126
646.042732,6.027858,text_element_amub,5,-1,1689122185.562110,127
652.054974,0.000000,last_stimuli,2023-07-12T09:36:31.572+09:00,-1,1689122191.574352,128
652.086206,2.685989,phase_Instructions_phase_2,46366,-1,1689122191.605584,129
652.094014,2.678181,text_element_937i,NULL,-1,1689122191.613392,130
654.772195,0.000000,finish_running,2023-07-12T09:36:34.291+09:00,-1,1689122194.291573,131
