latency,duration,type,marker_value,key,timestamp,marker_id
0.078086,217.156319,sensor_check,true,-1,1689062546.547706,1
217.250022,0.000000,published_date,2023-07-11T07:36:06.669329Z,-1,1689062763.719642,2
217.250022,7.972550,phase_Instructions_phase_1,46247,-1,1689062763.719642,3
217.250022,7.972550,text_element_djez,NULL,-1,1689062763.719642,4
225.222572,310.859154,active_period,true,-1,1689062771.692192,5
225.269423,10.002778,phase_Stimuli_phase_1,46248,-1,1689062771.739043,6
225.269423,10.002778,text_element_q681,rest,-1,1689062771.739043,7
235.280009,30.070802,phase_1,46249,-1,1689062781.749629,8
235.280009,0.999497,text_element_gmia,1,-1,1689062781.749629,9
236.279506,5.005293,text_element_5dc6,stop,-1,1689062782.749126,10
241.292608,1.007305,text_element_z6up,2,-1,1689062787.762228,11
242.299913,5.005293,text_element_08so,stop,-1,1689062788.769533,12
247.305206,1.007306,text_element_pod4,3,-1,1689062793.774826,13
248.312512,5.005293,text_element_02gl,stop,-1,1689062794.782132,14
253.325614,0.999496,text_element_velq,4,-1,1689062799.795234,15
254.332919,5.005293,text_element_ea58,stop,-1,1689062800.802539,16
259.338212,1.007306,text_element_amub,5,-1,1689062805.807832,17
260.345518,5.005293,text_element_em0k,stop,-1,1689062806.815138,18
265.358619,30.078610,phase_2,46250,-1,1689062811.828239,19
265.358619,0.999497,text_element_gmia,1,-1,1689062811.828239,20
266.365925,5.005293,text_element_5dc6,stop,-1,1689062812.835545,21
271.371218,1.007305,text_element_z6up,2,-1,1689062817.840838,22
272.378523,5.005293,text_element_08so,stop,-1,1689062818.848143,23
277.383816,1.007306,text_element_pod4,3,-1,1689062823.853436,24
278.391122,5.013102,text_element_02gl,stop,-1,1689062824.860742,25
283.404224,1.007305,text_element_velq,4,-1,1689062829.873844,26
284.411529,5.005293,text_element_ea58,stop,-1,1689062830.881149,27
289.416822,1.007305,text_element_amub,5,-1,1689062835.886442,28
290.424127,5.013102,text_element_em0k,stop,-1,1689062836.893747,29
295.437229,30.078610,phase_3,46251,-1,1689062841.906849,30
295.437229,1.007306,text_element_gmia,1,-1,1689062841.906849,31
296.444535,5.005293,text_element_5dc6,stop,-1,1689062842.914155,32
301.449828,1.007305,text_element_z6up,2,-1,1689062847.919448,33
302.457133,5.005293,text_element_08so,stop,-1,1689062848.926753,34
307.470235,0.999497,text_element_pod4,3,-1,1689062853.939855,35
308.477540,5.005293,text_element_02gl,stop,-1,1689062854.947160,36
313.482833,1.007306,text_element_velq,4,-1,1689062859.952453,37
314.490139,5.005293,text_element_ea58,stop,-1,1689062860.959759,38
319.495432,1.007305,text_element_amub,5,-1,1689062865.965052,39
320.502737,5.013102,text_element_em0k,stop,-1,1689062866.972357,40
325.515839,30.078610,phase_4,46252,-1,1689062871.985459,41
325.515839,1.007306,text_element_gmia,1,-1,1689062871.985459,42
326.523145,5.005293,text_element_5dc6,stop,-1,1689062872.992765,43
331.528438,1.007305,text_element_z6up,2,-1,1689062877.998058,44
332.535743,5.005293,text_element_08so,stop,-1,1689062879.005363,45
337.548845,1.007305,text_element_pod4,3,-1,1689062884.018465,46
338.556150,5.005293,text_element_02gl,stop,-1,1689062885.025770,47
343.561443,1.007306,text_element_velq,4,-1,1689062890.031063,48
344.568749,5.005293,text_element_ea58,stop,-1,1689062891.038369,49
349.581850,0.999497,text_element_amub,5,-1,1689062896.051470,50
350.589156,5.005293,text_element_em0k,stop,-1,1689062897.058776,51
355.594449,30.078610,phase_5,46253,-1,1689062902.064069,52
355.594449,1.007306,text_element_gmia,1,-1,1689062902.064069,53
356.601755,5.005293,text_element_5dc6,stop,-1,1689062903.071375,54
361.607048,1.007305,text_element_z6up,2,-1,1689062908.076668,55
362.614353,5.013102,text_element_08so,stop,-1,1689062909.083973,56
367.627455,1.007305,text_element_pod4,3,-1,1689062914.097075,57
368.634760,5.005293,text_element_02gl,stop,-1,1689062915.104380,58
373.640053,1.007306,text_element_velq,4,-1,1689062920.109673,59
374.647359,5.013101,text_element_ea58,stop,-1,1689062921.116979,60
379.660460,1.007306,text_element_amub,5,-1,1689062926.130080,61
380.667766,5.005293,text_element_em0k,stop,-1,1689062927.137386,62
385.673059,30.078610,phase_6,46254,-1,1689062932.142679,63
385.673059,1.007305,text_element_gmia,1,-1,1689062932.142679,64
386.680364,5.005294,text_element_5dc6,stop,-1,1689062933.149984,65
391.693466,1.007306,text_element_z6up,2,-1,1689062938.163086,66
392.700772,5.005293,text_element_08so,stop,-1,1689062939.170392,67
397.706065,1.007305,text_element_pod4,3,-1,1689062944.175685,68
398.713370,5.005293,text_element_02gl,stop,-1,1689062945.182990,69
403.718663,1.007306,text_element_velq,4,-1,1689062950.188283,70
404.725969,5.013101,text_element_ea58,stop,-1,1689062951.195589,71
409.739070,1.007306,text_element_amub,5,-1,1689062956.208690,72
410.746376,5.005293,text_element_em0k,stop,-1,1689062957.215996,73
415.751669,30.078610,phase_7,46255,-1,1689062962.221289,74
415.751669,1.007305,text_element_gmia,1,-1,1689062962.221289,75
416.758974,5.013102,text_element_5dc6,stop,-1,1689062963.228594,76
421.772076,1.007306,text_element_z6up,2,-1,1689062968.241696,77
422.779382,5.005293,text_element_08so,stop,-1,1689062969.249002,78
427.784675,1.007305,text_element_pod4,3,-1,1689062974.254295,79
428.791980,5.005293,text_element_02gl,stop,-1,1689062975.261600,80
433.805082,1.007305,text_element_velq,4,-1,1689062980.274702,81
434.812387,5.005293,text_element_ea58,stop,-1,1689062981.282007,82
439.817680,1.007306,text_element_amub,5,-1,1689062986.287300,83
440.824986,5.005293,text_element_em0k,stop,-1,1689062987.294606,84
445.838087,30.070802,phase_8,46256,-1,1689062992.307707,85
445.838087,0.999497,text_element_gmia,1,-1,1689062992.307707,86
446.845393,5.005293,text_element_5dc6,stop,-1,1689062993.315013,87
